,plotNo,pairNo,nPlots,block,accession_name,intercrop,category,seedlot_name,crop,crop_2,intercrop_accession_name,X,entry
25,25,13,4,Block1,NF12AS-107-4_2-1,monocrop,WOP_Mirza_selection,NF12AS-107-4_2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,Oat,oat,NA,61,61
26,26,13,4,Block1,NF12AS-107-4_2-1,intercrop,WOP_Mirza_selection,NF12AS-107-4_2-1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_258,Oat,oat-pea,BLAZE,61,61
27,27,14,4,Block1,NC14-1965,intercrop,SOAP_selection,NC14-1965-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,38,38
28,28,14,4,Block1,NC14-1965,monocrop,SOAP_selection,NC14-1965-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,38,38
29,29,15,4,Block1,FL17556-1,monocrop,UWON,FL17556-1_2026_UWON_Entry_14,Oat,oat,NA,8,8
30,30,15,4,Block1,FL17556-1,intercrop,UWON,FL17556-1_2026_UWON_Entry_14,Oat,oat-pea,BLAZE,8,8
31,31,16,4,Block1,NC21-6492,intercrop,Biomass,NC21-6492-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_128,Oat,oat-pea,BLAZE,54,54
32,32,17,4,Block1,OZARK|POGI,intercrop,WOP_Mirza_selection,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat-pea,BLAZE,75,75
33,33,17,4,Block1,OZARK|POGI,monocrop,WOP_Mirza_selection,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat,NA,75,75
34,34,18,4,Block1,NF13-4214-4_5,intercrop,WOP_Mirza_selection,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,Oat,oat-pea,BLAZE,70,70
35,35,18,4,Block1,NF13-4214-4_5,monocrop,WOP_Mirza_selection,NF13-4214-4_5-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_169,Oat,oat,NA,70,70
36,36,19,4,Block1,FL17542-21,intercrop,UWON,FL17542-21_2026_UWON_Entry_13,Oat,oat-pea,BLAZE,7,7
37,37,19,4,Block1,FL17542-21,monocrop,UWON,FL17542-21_2026_UWON_Entry_13,Oat,oat,NA,7,7
38,38,20,4,Block1,NF12AS-73-4_3,monocrop,Keystone_Pea_Test,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat,NA,64,64
39,39,20,4,Block1,NF12AS-73-4_3,intercrop,Keystone_Pea_Test,NF12AS-73-4_3-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_242,Oat,oat-pea,KEYSTONE,64,64
40,40,21,4,Block1,LA20053SBSB-27-2,intercrop,UWON,LA20053SBSB-27-2_2026_UWON_Entry_21,Oat,oat-pea,BLAZE,26,26
41,41,21,4,Block1,LA20053SBSB-27-2,monocrop,UWON,LA20053SBSB-27-2_2026_UWON_Entry_21,Oat,oat,NA,26,26
42,42,22,4,Block1,NC21-6497,intercrop,WOP_Mirza_selection,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,Oat,oat-pea,BLAZE,55,55
43,43,22,4,Block1,NC21-6497,monocrop,WOP_Mirza_selection,NC21-6497-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_65,Oat,oat,NA,55,55
44,44,23,4,Block1,Horizon 578,monocrop,UWON,Horizon578_2026_UWON_Entry_05,Oat,oat,NA,16,16
45,45,23,4,Block1,Horizon 578,intercrop,UWON,Horizon578_2026_UWON_Entry_05,Oat,oat-pea,BLAZE,16,16
46,46,24,4,Block1,NF12AS-107-4_4,intercrop,WOP_Mirza_selection,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,Oat,oat-pea,BLAZE,62,62
47,47,24,4,Block1,NF12AS-107-4_4,monocrop,WOP_Mirza_selection,NF12AS-107-4_4-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_359,Oat,oat,NA,62,62
48,48,25,8,Block1,NO_OAT_PLANTED,monocrop,Monocrop_pea,BLAZE-Cornell_WinterOatPeaIntercrop_2024_Ithaca-bulk,Pea,pea,BLAZE,NA,NA
49,49,26,4,Block1,PA7617-3658,intercrop,Biomass,PA7617-3658-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_54,Oat,oat-pea,BLAZE,77,77
50,50,27,2,Block1,NC14-1543,monocrop,SOAP_selection,NC14-1543-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,34,34
51,51,27,2,Block1,NC14-1543,intercrop,SOAP_selection,NC14-1543-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,34,34
52,52,28,4,Block2,OKAY,monocrop,WOP_Mirza_selection,OKAY-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,Oat,oat,NA,74,74
53,53,28,4,Block2,OKAY,intercrop,WOP_Mirza_selection,OKAY-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_14,Oat,oat-pea,BLAZE,74,74
54,54,29,2,Block2,NC14-1533,intercrop,SOAP_selection,NC14-1533-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat-pea,BLAZE,33,33
55,55,29,2,Block2,NC14-1533,monocrop,SOAP_selection,NC14-1533-CU_2025_Ithaca_SOAP_HR-bulk,Oat,oat,NA,33,33
56,56,30,4,Block2,FL16531-59,monocrop,UWON,FL16531-59_2026_UWON_Entry_17,Oat,oat,NA,4,4
57,57,30,4,Block2,FL16531-59,intercrop,UWON,FL16531-59_2026_UWON_Entry_17,Oat,oat-pea,BLAZE,4,4
58,58,31,4,Block2,OZARK|POGI,intercrop,Keystone_Pea_Test,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat-pea,KEYSTONE,75,75
59,59,31,4,Block2,OZARK|POGI,monocrop,Keystone_Pea_Test,OZARK|POGI-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_204,Oat,oat,NA,75,75
60,60,32,4,Block2,NF12AS-108-4_1,monocrop,WOP_Mirza_selection,NF12AS-108-4_1-Cornell_WinterOatPeaIntercrop_2024_Ithaca-PLOT_161,Oat,oat,NA,63,63
