"Genotype","damage_BLUPs","grain_y_BLUPs","pea_y_BLUPs","EV_damage","EV_grain_y","EV_pea_y","SI","SI_damage","SI_grain_y","SI_pea_y","PrEfAsEf"
"NF13-4157-4_2",-1.24420422720068,-5.3214917386357,4.20833050603446,-11.95,1,0.5,11.6509140294297,14.8682405150481,-5.3214917386357,2.10416525301723,-1.11316123260124
"TX18OCS9104",0.673478864310313,27.7913158854473,-16.8936990685069,-11.95,1,0.5,11.2963939226856,-8.04807242850824,27.7913158854473,-8.44684953425344,10.8976168169404
"NF99414",-1.27940795918643,-4.70935045864504,-0.000787125425471931,-11.95,1,0.5,10.5791810909201,15.2889251122779,-4.70935045864504,-0.000393562712735965,-4.71013758407051
"NF12AS-107-4_4",0.27982278211691,10.0798961089115,7.16924941715631,-11.95,1,0.5,10.3206385711925,-3.34388224629707,10.0798961089115,3.58462470857815,17.2491455260678
"HARRISON",-0.730620052439189,-7.74480665501502,18.4824203095916,-11.95,1,0.5,10.2273131264291,8.73090962664831,-7.74480665501502,9.24121015479581,10.7376136545766
"SCLA17080SBS-4-2",0.31079879440625,13.468666088047,-1.28821607509708,-11.95,1,0.5,9.11051245734378,-3.71404559315468,13.468666088047,-0.644108037548539,12.1804500129499
"LA17089SBS-45-1-1",-0.091099502937782,1.15189783588204,12.7708841677051,-11.95,1,0.5,8.62597897984107,1.0886390601065,1.15189783588204,6.38544208385253,13.9227820035871
"NF18",0.410253884998908,16.1717917789832,-5.40165221809128,-11.95,1,0.5,8.5684317442006,-4.90253392573694,16.1717917789832,-2.70082610904564,10.7701395608919
"PA7617-3658",-1.95045094943602,-10.8124815255622,-7.91717933168401,-11.95,1,0.5,8.53681765435617,23.3078888457604,-10.8124815255622,-3.95858966584201,-18.7296608572462
"NC21-6497",-0.101838301772458,9.5445008315556,-4.56791248337121,-11.95,1,0.5,8.47751229605086,1.21696770618087,9.5445008315556,-2.2839562416856,4.97658834818439
"NF12AS-108-4_4",-0.852007136683833,-7.99901836095957,12.5710481538063,-11.95,1,0.5,8.46799099931539,10.1814852833718,-7.99901836095957,6.28552407690315,4.57202979284673
"OZARK|POGI",-0.937110982287818,1.88714036815558,-10.3747999551307,-11.95,1,0.5,7.89821662892965,11.1984762383394,1.88714036815558,-5.18739997756535,-8.48765958697513
"FLLA17088-77",0.233359263012629,8.80963311478274,2.20680224399495,-11.95,1,0.5,7.1243910437793,-2.78864319300092,8.80963311478274,1.10340112199747,11.0164353587777
"NF99401_1-1",-1.03926347224264,-0.904278106682732,-8.86774008048041,-11.95,1,0.5,7.08105034637665,12.4191984932996,-0.904278106682732,-4.43387004024021,-9.77201818716314
"NC20-4702",-0.0691869243868739,1.58440136728631,8.51216029319158,-11.95,1,0.5,6.66726526030524,0.826783746423143,1.58440136728631,4.25608014659579,10.0965616604779
"NF12AS-107-4_2-1",-0.453975337526738,7.58761512280036,-13.8348287735785,-11.95,1,0.5,6.09520601945561,5.42500528344451,7.58761512280036,-6.91741438678927,-6.24721365077817
"GERARD224",-0.521489361768441,5.64017213763943,-11.9099900216054,-11.95,1,0.5,5.91697499996961,6.23179787313287,5.64017213763943,-5.95499501080269,-6.26981788396595
"NF97405-1",-0.39707568732402,-0.42116216785881,2.9225950130875,-11.95,1,0.5,5.78518980220698,4.74505446352204,-0.42116216785881,1.46129750654375,2.50143284522869
"NF97405B2",0.00336097136226585,-0.267752792200323,11.8743639058328,-11.95,1,0.5,5.62926555293701,-0.0401636077790768,-0.267752792200323,5.93718195291641,11.6066111136325
"HORIZON201",0.485903907939737,19.0356645598719,-15.2117530561439,-11.95,1,0.5,5.62323633192009,-5.80655169987985,19.0356645598719,-7.60587652807193,3.82391150372801
"NF00407",-0.220854925872302,0.779656275572125,1.47347863073723,-11.95,1,0.5,4.15561195511475,2.63921636417401,0.779656275572125,0.736739315368613,2.25313490630935
"NC21-6502",-0.150336322013609,5.87516546841268,-8.34371753845014,-11.95,1,0.5,3.49982574725024,1.79651904806263,5.87516546841268,-4.17185876922507,-2.46855207003746
"NF13-4083-4_6",-1.15461719887228,-10.7552890239121,0.611949816534358,-11.95,1,0.5,3.34836141087874,13.7976755265237,-10.7552890239121,0.305974908267179,-10.1433392073778
"NF502_5",-0.274235625794238,-2.04624522012087,3.8827307712942,-11.95,1,0.5,3.17223589376737,3.27711572824115,-2.04624522012087,1.9413653856471,1.83648555117333
