"subplot_name","subplot_id","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","subplot_number"
"CU_ARS_2026_WOP_022_subplot_1","755881","CU_ARS_2026_WOP_022","NF13-4173-4_5","022","1","","1","2","19","1"
"CU_ARS_2026_WOP_022_subplot_2","755882","CU_ARS_2026_WOP_022","NF13-4173-4_5","022","1","","1","2","19","2"
"CU_ARS_2026_WOP_022_subplot_3","755883","CU_ARS_2026_WOP_022","NF13-4173-4_5","022","1","","1","2","19","3"
"CU_ARS_2026_WOP_023_subplot_1","755743","CU_ARS_2026_WOP_023","NC21-6610","023","1","","1","2","18","1"
"CU_ARS_2026_WOP_023_subplot_2","755744","CU_ARS_2026_WOP_023","NC21-6610","023","1","","1","2","18","2"
"CU_ARS_2026_WOP_023_subplot_3","755745","CU_ARS_2026_WOP_023","NC21-6610","023","1","","1","2","18","3"
"CU_ARS_2026_WOP_024_subplot_1","756499","CU_ARS_2026_WOP_024","NC21-6610","024","1","","1","2","17","1"
"CU_ARS_2026_WOP_024_subplot_2","756500","CU_ARS_2026_WOP_024","NC21-6610","024","1","","1","2","17","2"
"CU_ARS_2026_WOP_024_subplot_3","756501","CU_ARS_2026_WOP_024","NC21-6610","024","1","","1","2","17","3"
"CU_ARS_2026_WOP_025_subplot_1","756217","CU_ARS_2026_WOP_025","NF12AS-107-4_2-1","025","1","","1","2","16","1"
"CU_ARS_2026_WOP_025_subplot_2","756218","CU_ARS_2026_WOP_025","NF12AS-107-4_2-1","025","1","","1","2","16","2"
"CU_ARS_2026_WOP_025_subplot_3","756219","CU_ARS_2026_WOP_025","NF12AS-107-4_2-1","025","1","","1","2","16","3"
"CU_ARS_2026_WOP_026_subplot_1","755710","CU_ARS_2026_WOP_026","NF12AS-107-4_2-1","026","1","","1","2","15","1"
"CU_ARS_2026_WOP_026_subplot_2","755711","CU_ARS_2026_WOP_026","NF12AS-107-4_2-1","026","1","","1","2","15","2"
"CU_ARS_2026_WOP_026_subplot_3","755712","CU_ARS_2026_WOP_026","NF12AS-107-4_2-1","026","1","","1","2","15","3"
"CU_ARS_2026_WOP_027_subplot_1","755815","CU_ARS_2026_WOP_027","NC14-1965","027","1","","1","2","14","1"
"CU_ARS_2026_WOP_027_subplot_2","755816","CU_ARS_2026_WOP_027","NC14-1965","027","1","","1","2","14","2"
"CU_ARS_2026_WOP_027_subplot_3","755817","CU_ARS_2026_WOP_027","NC14-1965","027","1","","1","2","14","3"
"CU_ARS_2026_WOP_028_subplot_1","755620","CU_ARS_2026_WOP_028","NC14-1965","028","1","","1","2","13","1"
"CU_ARS_2026_WOP_028_subplot_2","755621","CU_ARS_2026_WOP_028","NC14-1965","028","1","","1","2","13","2"
"CU_ARS_2026_WOP_028_subplot_3","755622","CU_ARS_2026_WOP_028","NC14-1965","028","1","","1","2","13","3"
"CU_ARS_2026_WOP_029_subplot_1","755863","CU_ARS_2026_WOP_029","FL17556-1","029","1","","1","2","12","1"
"CU_ARS_2026_WOP_029_subplot_2","755864","CU_ARS_2026_WOP_029","FL17556-1","029","1","","1","2","12","2"
"CU_ARS_2026_WOP_029_subplot_3","755865","CU_ARS_2026_WOP_029","FL17556-1","029","1","","1","2","12","3"
"CU_ARS_2026_WOP_030_subplot_1","755425","CU_ARS_2026_WOP_030","FL17556-1","030","1","","1","2","11","1"
"CU_ARS_2026_WOP_030_subplot_2","755426","CU_ARS_2026_WOP_030","FL17556-1","030","1","","1","2","11","2"
"CU_ARS_2026_WOP_030_subplot_3","755427","CU_ARS_2026_WOP_030","FL17556-1","030","1","","1","2","11","3"
"CU_ARS_2026_WOP_031_subplot_1","755677","CU_ARS_2026_WOP_031","NC21-6492","031","1","","1","2","10","1"
"CU_ARS_2026_WOP_031_subplot_2","755678","CU_ARS_2026_WOP_031","NC21-6492","031","1","","1","2","10","2"
"CU_ARS_2026_WOP_031_subplot_3","755679","CU_ARS_2026_WOP_031","NC21-6492","031","1","","1","2","10","3"
"CU_ARS_2026_WOP_032_subplot_1","756589","CU_ARS_2026_WOP_032","OZARK|POGI","032","1","","1","2","9","1"
"CU_ARS_2026_WOP_032_subplot_2","756590","CU_ARS_2026_WOP_032","OZARK|POGI","032","1","","1","2","9","2"
"CU_ARS_2026_WOP_032_subplot_3","756591","CU_ARS_2026_WOP_032","OZARK|POGI","032","1","","1","2","9","3"
"CU_ARS_2026_WOP_033_subplot_1","756439","CU_ARS_2026_WOP_033","OZARK|POGI","033","1","","1","2","8","1"
"CU_ARS_2026_WOP_033_subplot_2","756440","CU_ARS_2026_WOP_033","OZARK|POGI","033","1","","1","2","8","2"
"CU_ARS_2026_WOP_033_subplot_3","756441","CU_ARS_2026_WOP_033","OZARK|POGI","033","1","","1","2","8","3"
"CU_ARS_2026_WOP_034_subplot_1","755920","CU_ARS_2026_WOP_034","NF13-4214-4_5","034","1","","1","2","7","1"
"CU_ARS_2026_WOP_034_subplot_2","755921","CU_ARS_2026_WOP_034","NF13-4214-4_5","034","1","","1","2","7","2"
"CU_ARS_2026_WOP_034_subplot_3","755922","CU_ARS_2026_WOP_034","NF13-4214-4_5","034","1","","1","2","7","3"
"CU_ARS_2026_WOP_035_subplot_1","755680","CU_ARS_2026_WOP_035","NF13-4214-4_5","035","1","","1","2","6","1"
"CU_ARS_2026_WOP_035_subplot_2","755681","CU_ARS_2026_WOP_035","NF13-4214-4_5","035","1","","1","2","6","2"
"CU_ARS_2026_WOP_035_subplot_3","755682","CU_ARS_2026_WOP_035","NF13-4214-4_5","035","1","","1","2","6","3"
"CU_ARS_2026_WOP_036_subplot_1","756433","CU_ARS_2026_WOP_036","FL17542-21","036","1","","1","2","5","1"
"CU_ARS_2026_WOP_036_subplot_2","756434","CU_ARS_2026_WOP_036","FL17542-21","036","1","","1","2","5","2"
"CU_ARS_2026_WOP_036_subplot_3","756435","CU_ARS_2026_WOP_036","FL17542-21","036","1","","1","2","5","3"
"CU_ARS_2026_WOP_037_subplot_1","756370","CU_ARS_2026_WOP_037","FL17542-21","037","1","","1","2","4","1"
"CU_ARS_2026_WOP_037_subplot_2","756371","CU_ARS_2026_WOP_037","FL17542-21","037","1","","1","2","4","2"
"CU_ARS_2026_WOP_037_subplot_3","756372","CU_ARS_2026_WOP_037","FL17542-21","037","1","","1","2","4","3"
"CU_ARS_2026_WOP_038_subplot_1","756160","CU_ARS_2026_WOP_038","NF12AS-73-4_3","038","1","","1","2","3","1"
"CU_ARS_2026_WOP_038_subplot_2","756161","CU_ARS_2026_WOP_038","NF12AS-73-4_3","038","1","","1","2","3","2"
"CU_ARS_2026_WOP_038_subplot_3","756162","CU_ARS_2026_WOP_038","NF12AS-73-4_3","038","1","","1","2","3","3"
"CU_ARS_2026_WOP_039_subplot_1","756553","CU_ARS_2026_WOP_039","NF12AS-73-4_3","039","1","","1","2","2","1"
"CU_ARS_2026_WOP_039_subplot_2","756554","CU_ARS_2026_WOP_039","NF12AS-73-4_3","039","1","","1","2","2","2"
"CU_ARS_2026_WOP_039_subplot_3","756555","CU_ARS_2026_WOP_039","NF12AS-73-4_3","039","1","","1","2","2","3"
"CU_ARS_2026_WOP_040_subplot_1","755896","CU_ARS_2026_WOP_040","LA20053SBSB-27-2","040","1","","1","2","1","1"
"CU_ARS_2026_WOP_040_subplot_2","755897","CU_ARS_2026_WOP_040","LA20053SBSB-27-2","040","1","","1","2","1","2"
"CU_ARS_2026_WOP_040_subplot_3","755898","CU_ARS_2026_WOP_040","LA20053SBSB-27-2","040","1","","1","2","1","3"
"CU_ARS_2026_WOP_041_subplot_1","755764","CU_ARS_2026_WOP_041","LA20053SBSB-27-2","041","1","","1","3","1","1"
"CU_ARS_2026_WOP_041_subplot_2","755765","CU_ARS_2026_WOP_041","LA20053SBSB-27-2","041","1","","1","3","1","2"
"CU_ARS_2026_WOP_041_subplot_3","755766","CU_ARS_2026_WOP_041","LA20053SBSB-27-2","041","1","","1","3","1","3"
